Na	Na	Na	1.下列「」內的字，讀音正確的選項是︰	Na	Na	106學測	D	「戛」然而止：ㄍㄚ	Na	Na	犬吠狼「嗥」：ㄒㄧㄠ	Na	Na	「岬」灣海岸：ㄒㄧㄚˊ	Na	Na	平野廣「袤」：ㄇㄠˋ	Na	Na	Na	Na	Na	Na	Na	Na	FALSE
Na	Na	Na	2.下列是某生抄錄的2016年藝文紀事，用字完全正確的選項是：	Na	Na	106學測	A	《暗戀桃花源》在睽違十年後，第五度在臺巡迴演出，堪稱戲劇界盛事	Na	Na	透過深度的社群經營，電視劇《一把青》善用行銷，逆勢諦造收視佳績	Na	Na	為紀念莎士比亞逝世四百週年，倫敦環球劇場提供嶄新風貌的視覺餉宴	Na	Na	美國歌手巴布狄倫獲諾貝爾文學獎，反映當代「文學」定義已漸驅改變	Na	Na	Na	Na	Na	Na	Na	Na	FALSE
Na	Na	Na	3.閱讀下列新詩，選出依序最適合填入□□內的選項：甲、大麗花／開在後院裡／月亮□□籬笆時／順手帶走一絲春天殘餘的香氣（洛夫〈花落無聲〉)乙、鳥聲在漢城各座宮殿庭院內□□／如密密雨點落在鬼面瓦上／一處處都是回響……（蓉子〈古典留我〉)丙、一口老甕／裝著全家人的／心，放在屋漏的地方／接水／□□一家人的／辛酸……（林煥彰〈雨天〉）	Na	Na	106學測	A	翻過／滴落／彈唱	Na	Na	翻過／流淌／記錄	Na	Na	駐足／流淌／彈唱	Na	Na	駐足／滴落／記錄	Na	Na	Na	Na	Na	Na	Na	Na	FALSE
Na	Na	Na	4.下列是一段現代散文，請依文意選出排列順序最恰當的選項：我這個暗光鳥，如此近距離的觀看暗光鳥：黑冠麻鷺、蜥蜴、大蜘蛛。甲、而我在初春裡，南方佳木之城乙、彷彿也有了坐擁山林的丘壑之心了丙、植物園裡的牠，習得不動聲色的禪學功夫丁、我想當我離開嘉義時，只消在心頭種上一株植物戊、大蜘蛛編織著巨網，懸在兩棵大樹之間，優雅的殺手就會遙想起整個南方，整個城市的亞熱帶風情。（鍾文音〈甜蜜亞熱帶〉)	Na	Na	106學測	D	甲乙丙戊丁	Na	Na	乙戊丙丁甲	Na	Na	丙戊丁乙甲	Na	Na	戊丙甲乙丁	Na	Na	Na	Na	Na	Na	Na	Na	FALSE
Na	Na	Na	5.某校為弘揚儒家、墨家思想，特將新建的兩棟大樓命名為「歸仁堂」、「兼愛樓」，若欲彰顯命名宗旨，則川堂懸掛的字幅依序應是：	Na	Na	106學測	C	士不可以不弘毅，任重而道遠／仁者，人也，親親為大	Na	Na	愛人利人以得福，惡人賊人以得禍／人不獨親其親，不獨子其子	Na	Na	非禮勿視，非禮勿聽，非禮勿言，非禮勿動／視人之國若視其國，視人之家若視其家，視人之身若視其身	Na	Na	己欲立而立人，己欲達而達人／人之於身也，兼所愛；兼所愛，則兼所養也。無尺寸之膚不愛焉，則無尺寸之膚不養也	Na	Na	Na	Na	Na	Na	Na	Na	FALSE
Na	Na	Na	6.下列元曲運用一連串比喻，所要嘲諷的對象是：奪泥燕口，削鐵鍼頭，刮金佛面細搜求。無中覓有。鵪鶉膆裡尋豌豆，鷺鷥腿上劈精肉，蚊子腹內刳脂油。虧老先生下手。（佚名〈醉太平〉）	Na	Na	106學測	C	汲汲名利，奔走鑽營者	Na	Na	百般挑剔，吹毛求疵者	Na	Na	貪圖小利，極力刻剝者	Na	Na	興風作浪，無中生有者	Na	Na	Na	Na	Na	Na	Na	Na	FALSE
Na	Na	Na	7.依以下蘇先生的看法，滁州瑯琊山可能是「瑯琊閣」的發想來源，其所持的理由是： 	chin106-7	Na	106學測	A	曾有兩位瑯琊王對金陵政局產生影響	Na	Na	滁州瑯琊山上有晉代所興建之瑯琊閣	Na	Na	瑯琊山是西晉伐吳與東晉重建的據點	Na	Na	「瑯琊閣」藉瑯琊王之名在金陵為亂	Na	Na	Na	Na	Na	Na	Na	Na	FALSE
8-9為題組:閱讀下文，回答8-9題。德國作家赫塞曾把孤獨比喻為「荒野之狼」，文學家用來形容孤獨的意象無疑都非常有力，只可惜太個人化了，我想尋找更具普遍性的意象。孤獨的面貌並非只有悲傷，它也可以是欣然而美好的；事實上，孤獨乃是人必然的存在狀態，也是一種回歸和自由，且常存於深刻的互動中。我在中國哲學裡找到一個簡潔有力的「太極圖」，很適合說明孤獨的特質。太極圖由陰陽（黑白）兩個對稱而對立的半部所組成。如果把陰比為孤獨，把陽比為交會的話，非常能說明孤獨和交會的關係。首先，陰陽兩個半部裡各自包含著對方顏色的若干細線，這反映出：沒有所謂純粹的孤獨，也沒有所謂純粹的交會。其次，兩個半部間有一灰色的中間地帶，這和兩者互為對方底景的特質相似。最特別處是在陰的中央位置有個白點，在陽的中央位置有個黑點，這似乎意味著：在人我交會的極致中，人有可能會突然體驗到最深沉的孤獨，而在孤獨的極致中，人也可能會突然體驗到自我和天地、人際之間最深沉的交會。用太極圖來象徵孤獨還有一個優點：它可反映出孤獨和群體生活二者對人同等重要，是體驗世界時不可偏廢的兩條路徑。（改寫自菲力浦‧科克《孤獨》）	chin106-8	Na	8.下列敘述，符合上文文意的選項是：	Na	Na	106學測	B	文學家每為孤獨所困，但描繪的內容都是個人化的經驗，難以引起讀者共鳴	Na	Na	孤獨和交會的關係就好比陰、陽，二者互滲於對方之中，不可能真正的獨存	Na	Na	要完整體驗世界必須同時過著孤獨和群體生活，讓自己處於灰色的中間地帶	Na	Na	太極圖中的白點象徵在孤獨中能安慰我們的朋友，黑點象徵人心深處的黑暗面	Na	Na	Na	Na	Na	Na	Na	Na	FALSE
8-9為題組:閱讀下文，回答8-9題。德國作家赫塞曾把孤獨比喻為「荒野之狼」，文學家用來形容孤獨的意象無疑都非常有力，只可惜太個人化了，我想尋找更具普遍性的意象。孤獨的面貌並非只有悲傷，它也可以是欣然而美好的；事實上，孤獨乃是人必然的存在狀態，也是一種回歸和自由，且常存於深刻的互動中。我在中國哲學裡找到一個簡潔有力的「太極圖」，很適合說明孤獨的特質。太極圖由陰陽（黑白）兩個對稱而對立的半部所組成。如果把陰比為孤獨，把陽比為交會的話，非常能說明孤獨和交會的關係。首先，陰陽兩個半部裡各自包含著對方顏色的若干細線，這反映出：沒有所謂純粹的孤獨，也沒有所謂純粹的交會。其次，兩個半部間有一灰色的中間地帶，這和兩者互為對方底景的特質相似。最特別處是在陰的中央位置有個白點，在陽的中央位置有個黑點，這似乎意味著：在人我交會的極致中，人有可能會突然體驗到最深沉的孤獨，而在孤獨的極致中，人也可能會突然體驗到自我和天地、人際之間最深沉的交會。用太極圖來象徵孤獨還有一個優點：它可反映出孤獨和群體生活二者對人同等重要，是體驗世界時不可偏廢的兩條路徑。（改寫自菲力浦‧科克《孤獨》）	chin106-8	Na	9.下列文字，最能表現上文畫底線處情況的選項是：	Na	Na	106學測	D	臘月既望，館人奔告：「玉山見矣！」時旁午，風靜無塵，四宇清澈	Na	Na	壬戌之秋，七月既望，蘇子與客泛舟遊於赤壁之下。清風徐來，水波不興	Na	Na	明日拉顧君偕往，坐莽葛中，命二番兒操楫。緣溪入，溪盡為內北社，呼社人為導	Na	Na	人知從太守遊而樂，而不知太守之樂其樂也。醉能同其樂，醒能述以文者，太守也	Na	Na	Na	Na	Na	Na	Na	Na	FALSE
Na	Na	Na	10.下列文句的說明，正確的選項是：	Na	Na	106學測	D	「行腳僧煙簑雨笠，到處棲遲」描述行腳僧失意飄泊而浪跡天涯	Na	Na	「滿船詩酒滿船書，隨意索」說明作者好客，詩、酒及書任人索取	Na	Na	「獨醒還睡，自歌還歇」描寫眾人皆醉我獨醒與漁歌唱和的情景	Na	Na	「擘破三萬六千頃青琉璃」意謂行船於澄碧的太湖之中	Na	Na	Na	Na	Na	Na	Na	Na	FALSE
Na	Na	Na	11.作者引述髯公詩與程垓詞的用意是：	Na	Na	106學測	A	表達依江山勝景而居的嚮往	Na	Na	流露出無處不可為家的豁達	Na	Na	慨嘆屋狹而不能滿室詩酒書	Na	Na	惋惜不能以船為家任意遨遊	Na	Na	Na	Na	Na	Na	Na	Na	FALSE
